week_start,week_end,rank,title,weeks_in_top10,views,runtime,hours_viewed,title_clean,season
2025-09-08,2025-09-14,4,My Life With the Walter Boys: Season 2,5,5200000.0,7:27,38700000,My Life With the Walter Boys,Season 2
2025-09-08,2025-09-14,5,Love Con Revenge: Season 1,2,4100000.0,4:11,17200000,Love Con Revenge,Season 1
2025-09-08,2025-09-14,6,Wednesday: Season 1,28,3600000.0,6:49,24400000,Wednesday,Season 1
2025-09-08,2025-09-14,7,Hostage: Limited Series,4,3000000.0,3:35,10600000,Hostage,Limited Series
2025-09-08,2025-09-14,8,"Raw: 2025 - September 8, 2025",1,2600000.0,1:48,5100000,Raw,"2025 - September 8, 2025"
2025-09-08,2025-09-14,9,Beauty and the Bester: Limited Series,2,2500000.0,2:15,5600000,Beauty and the Bester,Limited Series
2025-09-08,2025-09-14,10,"Dr. Seuss’s Red Fish, Blue Fish: Season 1",1,2000000.0,2:18,4500000,"Dr. Seuss’s Red Fish, Blue Fish",Season 1
2025-09-15,2025-09-21,1,Wednesday: Season 2,11,7200000.0,7:47,56200000,Wednesday,Season 2
2025-09-15,2025-09-21,2,Black Rabbit: Limited Series,3,6600000.0,7:36,50500000,Black Rabbit,Limited Series
2025-09-15,2025-09-21,3,Beauty in Black: Season 2,6,6600000.0,6:56,46000000,Beauty in Black,Season 2
2025-09-15,2025-09-21,4,Beauty and the Bester: Limited Series,2,3800000.0,2:15,8600000,Beauty and the Bester,Limited Series
2025-09-15,2025-09-21,5,Adolescence: Limited Series,10,3600000.0,3:50,13700000,Adolescence,Limited Series
2025-09-15,2025-09-21,6,My Life With the Walter Boys: Season 2,5,3000000.0,7:27,22400000,My Life With the Walter Boys,Season 2
2025-09-15,2025-09-21,7,"Raw: 2025 - September 15, 2025",1,2600000.0,1:58,5300000,Raw,"2025 - September 15, 2025"
2025-09-15,2025-09-21,8,Beauty in Black: Season 1,7,2300000.0,12:36,28800000,Beauty in Black,Season 1
2025-09-15,2025-09-21,9,Wednesday: Season 1,28,2100000.0,6:49,14500000,Wednesday,Season 1
2025-09-15,2025-09-21,10,Haunted Hotel: Season 1,2,1800000.0,4:14,7500000,Haunted Hotel,Season 1
2025-09-22,2025-09-28,1,Wayward: Limited Series,5,8200000.0,5:56,48800000,Wayward,Limited Series
2025-09-22,2025-09-28,2,Black Rabbit: Limited Series,3,7000000.0,7:36,52900000,Black Rabbit,Limited Series
2025-09-22,2025-09-28,3,House of Guinness: Season 1,4,5200000.0,6:54,35700000,House of Guinness,Season 1
2025-09-22,2025-09-28,4,Wednesday: Season 2,11,4400000.0,7:47,34200000,Wednesday,Season 2
2025-09-22,2025-09-28,5,Adolescence: Limited Series,10,3500000.0,3:50,13400000,Adolescence,Limited Series
2025-09-22,2025-09-28,6,Beauty in Black: Season 2,6,3100000.0,6:56,21200000,Beauty in Black,Season 2
2025-09-22,2025-09-28,7,Haunted Hotel: Season 1,2,2800000.0,4:14,11900000,Haunted Hotel,Season 1
2025-09-22,2025-09-28,8,"Raw: 2025 - September 22, 2025",1,2300000.0,1:55,4500000,Raw,"2025 - September 22, 2025"
2025-09-22,2025-09-28,9,My Life With the Walter Boys: Season 2,5,2000000.0,7:27,14900000,My Life With the Walter Boys,Season 2
2025-09-22,2025-09-28,10,Doc: Season 1,2,1900000.0,7:20,13600000,Doc,Season 1
2025-09-29,2025-10-05,1,Wayward: Limited Series,5,14100000.0,5:56,83700000,Wayward,Limited Series
2025-09-29,2025-10-05,2,Monster: The Ed Gein Story: Season 1,5,12200000.0,7:27,90600000,Monster: The Ed Gein Story,Season 1
2025-09-29,2025-10-05,3,House of Guinness: Season 1,4,6400000.0,6:54,44400000,House of Guinness,Season 1
2025-09-29,2025-10-05,4,Love Is Blind: S9: Denver,3,3700000.0,6:37,24400000,Love Is Blind,S9: Denver
2025-09-29,2025-10-05,5,Black Rabbit: Limited Series,3,3300000.0,7:36,24700000,Black Rabbit,Limited Series
2025-09-29,2025-10-05,6,Wednesday: Season 2,11,3000000.0,7:47,23400000,Wednesday,Season 2
2025-09-29,2025-10-05,7,Dark Winds: Season 1,3,2800000.0,4:21,12200000,Dark Winds,Season 1
2025-09-29,2025-10-05,8,"Raw: 2025 - September 29, 2025",1,2300000.0,1:53,4500000,Raw,"2025 - September 29, 2025"
2025-09-29,2025-10-05,9,Doc: Season 1,2,1700000.0,7:20,12300000,Doc,Season 1
2025-09-29,2025-10-05,10,Ms. Rachel: Season 1,25,1600000.0,3:02,4900000,Ms. Rachel,Season 1
2025-10-06,2025-10-12,1,Monster: The Ed Gein Story: Season 1,5,20700000.0,7:27,154200000,Monster: The Ed Gein Story,Season 1
2025-10-06,2025-10-12,2,Is It Cake? Halloween: Season 1,2,5700000.0,2:37,14800000,Is It Cake? Halloween,Season 1
2025-10-06,2025-10-12,3,Victoria Beckham: Limited Series,2,5600000.0,2:25,13500000,Victoria Beckham,Limited Series
2025-10-06,2025-10-12,4,Wayward: Limited Series,5,5500000.0,5:56,32600000,Wayward,Limited Series
2025-10-06,2025-10-12,5,True Haunting: Season 1,1,5200000.0,3:00,15700000,True Haunting,Season 1
2025-10-06,2025-10-12,6,Boots: Season 1,4,4700000.0,5:51,27500000,Boots,Season 1
2025-10-06,2025-10-12,7,Love Is Blind: S9: Denver,3,4100000.0,9:17,38200000,Love Is Blind,S9: Denver
2025-10-06,2025-10-12,8,House of Guinness: Season 1,4,3400000.0,6:54,23800000,House of Guinness,Season 1
2025-10-06,2025-10-12,9,"Raw: 2025 - October 6, 2025",1,2400000.0,1:57,4800000,Raw,"2025 - October 6, 2025"
2025-10-06,2025-10-12,10,Wednesday: Season 2,11,2300000.0,7:47,17600000,Wednesday,Season 2
2025-10-13,2025-10-19,1,Monster: The Ed Gein Story: Season 1,5,9500000.0,7:27,70500000,Monster: The Ed Gein Story,Season 1
2025-10-13,2025-10-19,2,Boots: Season 1,4,9400000.0,5:51,55200000,Boots,Season 1
2025-10-13,2025-10-19,3,The Diplomat: Season 3,3,4800000.0,6:29,31400000,The Diplomat,Season 3
2025-10-13,2025-10-19,4,Victoria Beckham: Limited Series,2,3800000.0,2:25,9300000,Victoria Beckham,Limited Series
2025-10-13,2025-10-19,5,Wayward: Limited Series,5,3200000.0,5:56,18900000,Wayward,Limited Series
2025-10-13,2025-10-19,6,Is It Cake? Halloween: Season 1,2,2900000.0,2:37,7600000,Is It Cake? Halloween,Season 1
2025-10-13,2025-10-19,7,Love Is Blind: S9: Denver,3,2700000.0,11:20,30700000,Love Is Blind,S9: Denver
2025-10-13,2025-10-19,8,"Raw: 2025 - October 13, 2025",1,2400000.0,1:52,4600000,Raw,"2025 - October 13, 2025"
2025-10-13,2025-10-19,9,House of Guinness: Season 1,4,2100000.0,6:54,14700000,House of Guinness,Season 1
2025-10-13,2025-10-19,10,Wednesday: Season 2,11,1900000.0,7:47,14400000,Wednesday,Season 2
2025-10-20,2025-10-26,1,Nobody Wants This: Season 2,4,8600000.0,4:26,38100000,Nobody Wants This,Season 2
2025-10-20,2025-10-26,2,The Diplomat: Season 3,3,6300000.0,6:29,40800000,The Diplomat,Season 3
2025-10-20,2025-10-26,3,Boots: Season 1,4,5600000.0,5:51,32700000,Boots,Season 1
2025-10-20,2025-10-26,4,Monster: The Ed Gein Story: Season 1,5,5100000.0,7:27,38300000,Monster: The Ed Gein Story,Season 1
2025-10-20,2025-10-26,5,Mob War: Philadelphia vs. The Mafia: Season 1,2,4800000.0,2:19,11200000,Mob War: Philadelphia vs. The Mafia,Season 1
2025-10-20,2025-10-26,6,"Raw: 2025 - October 20, 2025",1,2600000.0,1:53,5100000,Raw,"2025 - October 20, 2025"
2025-10-20,2025-10-26,7,Wayward: Limited Series,5,2200000.0,5:56,13000000,Wayward,Limited Series
2025-10-20,2025-10-26,8,The Diplomat: Season 1,6,2000000.0,6:45,13800000,The Diplomat,Season 1
2025-10-20,2025-10-26,9,Nobody Wants This: Season 1,8,2000000.0,4:25,8900000,Nobody Wants This,Season 1
2025-10-20,2025-10-26,10,Baby Shark Hospital Play: Season 1,1,1900000.0,1:34,2900000,Baby Shark Hospital Play,Season 1
2025-10-27,2025-11-02,1,Nobody Wants This: Season 2,4,9400000.0,4:26,41800000,Nobody Wants This,Season 2
2025-10-27,2025-11-02,2,The Witcher: Season 4,3,7400000.0,7:11,53200000,The Witcher,Season 4
2025-10-27,2025-11-02,3,Selling Sunset: Season 9,2,4200000.0,5:55,24600000,Selling Sunset,Season 9
2025-10-27,2025-11-02,4,Boots: Season 1,4,3700000.0,5:51,21400000,Boots,Season 1
2025-10-27,2025-11-02,5,The Diplomat: Season 3,3,3200000.0,6:29,20700000,The Diplomat,Season 3
2025-10-27,2025-11-02,6,Monster: The Ed Gein Story: Season 1,5,2800000.0,7:27,21200000,Monster: The Ed Gein Story,Season 1
2025-10-27,2025-11-02,7,Nobody Wants This: Season 1,8,2400000.0,4:25,10700000,Nobody Wants This,Season 1
2025-10-27,2025-11-02,8,"Raw: 2025 - October 27, 2025",1,2300000.0,1:53,4600000,Raw,"2025 - October 27, 2025"
2025-10-27,2025-11-02,9,Mob War: Philadelphia vs. The Mafia: Season 1,2,1900000.0,2:19,4300000,Mob War: Philadelphia vs. The Mafia,Season 1
2025-10-27,2025-11-02,10,Stranger Things: Season 1,22,1800000.0,6:49,12300000,Stranger Things,Season 1
2025-11-03,2025-11-09,1,The Witcher: Season 4,3,7400000.0,7:11,53400000,The Witcher,Season 4
2025-11-03,2025-11-09,2,Nobody Wants This: Season 2,4,4800000.0,4:26,21100000,Nobody Wants This,Season 2
2025-11-03,2025-11-09,3,Bad Influencer: Season 1,1,4000000.0,5:37,22200000,Bad Influencer,Season 1
2025-11-03,2025-11-09,4,Selling Sunset: Season 9,2,3600000.0,7:03,25600000,Selling Sunset,Season 9
2025-11-03,2025-11-09,5,Death by Lightning: Limited Series,2,3200000.0,3:35,11600000,Death by Lightning,Limited Series
2025-11-03,2025-11-09,6,Squid Game: The Challenge: Season 2,2,3200000.0,3:34,11500000,Squid Game: The Challenge,Season 2
2025-11-03,2025-11-09,7,Leanne Morgan: Unspeakable Things,1,3000000.0,1:05,3300000,Leanne Morgan: Unspeakable Things,
2025-11-03,2025-11-09,8,Stranger Things: Season 1,22,2800000.0,6:49,19300000,Stranger Things,Season 1
2025-11-03,2025-11-09,9,"Raw: 2025 - November 3, 2025",1,2400000.0,2:06,5200000,Raw,"2025 - November 3, 2025"
2025-11-03,2025-11-09,10,The Bad Guys: The Series: Season 1,1,2400000.0,3:49,9200000,The Bad Guys: The Series,Season 1
2025-11-10,2025-11-16,1,The Beast in Me: Limited Series,5,6900000.0,6:36,45400000,The Beast in Me,Limited Series
2025-11-10,2025-11-16,2,The Witcher: Season 4,3,3600000.0,7:11,26000000,The Witcher,Season 4
2025-11-10,2025-11-16,3,Absentia: Season 1,3,3500000.0,7:20,25400000,Absentia,Season 1
2025-11-10,2025-11-16,4,Stranger Things: Season 1,22,3300000.0,6:49,22500000,Stranger Things,Season 1
2025-11-10,2025-11-16,5,Death by Lightning: Limited Series,2,3200000.0,3:35,11500000,Death by Lightning,Limited Series
2025-11-10,2025-11-16,6,Squid Game: The Challenge: Season 2,2,3200000.0,6:38,21000000,Squid Game: The Challenge,Season 2
2025-11-10,2025-11-16,7,"Raw: 2025 - November 10, 2025",1,2800000.0,1:44,5100000,Raw,"2025 - November 10, 2025"
2025-11-10,2025-11-16,8,MARINES: Season 1,1,2800000.0,3:14,9000000,MARINES,Season 1
2025-11-10,2025-11-16,9,Stranger Things 2,20,2700000.0,7:53,21600000,Stranger Things 2,
2025-11-10,2025-11-16,10,Nobody Wants This: Season 2,4,2600000.0,4:26,11600000,Nobody Wants This,Season 2
2025-11-17,2025-11-23,1,The Beast in Me: Limited Series,5,14100000.0,6:36,93200000,The Beast in Me,Limited Series
2025-11-17,2025-11-23,2,Absentia: Season 1,3,8200000.0,7:20,60100000,Absentia,Season 1
2025-11-17,2025-11-23,3,Stranger Things: Season 1,22,4100000.0,6:49,27800000,Stranger Things,Season 1
2025-11-17,2025-11-23,4,Absentia: Season 2,1,4000000.0,7:11,28800000,Absentia,Season 2
2025-11-17,2025-11-23,5,Stranger Things 4,29,3300000.0,13:04,43500000,Stranger Things 4,
2025-11-17,2025-11-23,6,"Raw: 2025 - November 17, 2025",1,3100000.0,1:48,5800000,Raw,"2025 - November 17, 2025"
2025-11-17,2025-11-23,7,Stranger Things 2,20,3100000.0,7:53,24700000,Stranger Things 2,
2025-11-17,2025-11-23,8,Gabby's Dollhouse: Season 12,1,3100000.0,2:01,6300000,Gabby's Dollhouse,Season 12
2025-11-17,2025-11-23,9,Stranger Things 3,20,3100000.0,7:33,23200000,Stranger Things 3,
2025-11-17,2025-11-23,10,Absentia: Season 3,1,2300000.0,7:23,17300000,Absentia,Season 3
2025-11-24,2025-11-30,1,Stranger Things 5,10,59600000.0,4:46,284200000,Stranger Things 5,
2025-11-24,2025-11-30,2,Kevin Hart: Acting My Age,1,9200000.0,1:07,10300000,Kevin Hart: Acting My Age,
2025-11-24,2025-11-30,3,Stranger Things: Season 1,22,8900000.0,6:49,61000000,Stranger Things,Season 1
2025-11-24,2025-11-30,4,The Beast in Me: Limited Series,5,7800000.0,6:36,51500000,The Beast in Me,Limited Series
2025-11-24,2025-11-30,5,Stranger Things 4,29,6100000.0,13:04,79500000,Stranger Things 4,
2025-11-24,2025-11-30,6,Stranger Things 2,20,5600000.0,7:53,44200000,Stranger Things 2,
2025-11-24,2025-11-30,7,Missing: Dead or Alive?: Season 2,1,5200000.0,2:50,14800000,Missing: Dead or Alive?,Season 2
2025-11-24,2025-11-30,8,Stranger Things 3,20,4600000.0,7:33,34700000,Stranger Things 3,
2025-11-24,2025-11-30,9,Absentia: Season 1,3,4500000.0,7:20,33100000,Absentia,Season 1
2025-11-24,2025-11-30,10,Mark Rober's CrunchLabs: Season 1,1,4000000.0,2:07,8400000,Mark Rober's CrunchLabs,Season 1
2025-12-01,2025-12-07,1,Stranger Things 5,10,23600000.0,4:46,112700000,Stranger Things 5,
2025-12-01,2025-12-07,2,Sean Combs: The Reckoning: Season 1,4,21800000.0,4:08,89900000,Sean Combs: The Reckoning,Season 1
2025-12-01,2025-12-07,3,Stranger Things: Season 1,22,8200000.0,6:49,56100000,Stranger Things,Season 1
2025-12-01,2025-12-07,4,The Abandons: Season 1,2,7300000.0,5:05,37000000,The Abandons,Season 1
2025-12-01,2025-12-07,5,Stranger Things 2,20,6800000.0,7:53,53800000,Stranger Things 2,
2025-12-01,2025-12-07,6,Stranger Things 3,20,5900000.0,7:33,44200000,Stranger Things 3,
2025-12-01,2025-12-07,7,Stranger Things 4,29,5300000.0,13:04,69900000,Stranger Things 4,
2025-12-01,2025-12-07,8,The Rats: A Witcher Tale,1,5000000.0,1:23,6900000,The Rats: A Witcher Tale,
2025-12-01,2025-12-07,9,The Beast in Me: Limited Series,5,4800000.0,6:36,31900000,The Beast in Me,Limited Series
2025-12-01,2025-12-07,10,Matt Rife: Unwrapped - A Christmas Crowd Work Special,1,4600000.0,0:59,4500000,Matt Rife: Unwrapped - A Christmas Crowd Work Special,
2025-12-08,2025-12-14,1,Man Vs Baby: Season 1,4,19100000.0,1:58,37600000,Man Vs Baby,Season 1
2025-12-08,2025-12-14,2,Sean Combs: The Reckoning: Season 1,4,17900000.0,4:08,74100000,Sean Combs: The Reckoning,Season 1
2025-12-08,2025-12-14,3,Stranger Things 5,10,11200000.0,4:46,53200000,Stranger Things 5,
2025-12-08,2025-12-14,4,The Abandons: Season 1,2,7600000.0,5:05,38500000,The Abandons,Season 1
2025-12-08,2025-12-14,5,Stranger Things 3,20,4800000.0,7:33,36400000,Stranger Things 3,
2025-12-08,2025-12-14,6,Stranger Things 4,29,4800000.0,13:04,62100000,Stranger Things 4,
2025-12-08,2025-12-14,7,Stranger Things: Season 1,22,4700000.0,6:49,32000000,Stranger Things,Season 1
2025-12-08,2025-12-14,8,Stranger Things 2,20,4700000.0,7:53,36800000,Stranger Things 2,
2025-12-08,2025-12-14,9,The Beast in Me: Limited Series,5,3500000.0,6:36,23200000,The Beast in Me,Limited Series
2025-12-08,2025-12-14,10,"Raw: 2025 - December 8, 2025",1,2500000.0,1:42,4400000,Raw,"2025 - December 8, 2025"
2025-12-15,2025-12-21,1,Man Vs Baby: Season 1,4,14600000.0,1:58,28700000,Man Vs Baby,Season 1
2025-12-15,2025-12-21,2,Emily in Paris: Season 5,5,13500000.0,5:47,78200000,Emily in Paris,Season 5
2025-12-15,2025-12-21,3,Jake Paul vs. Anthony Joshua,1,10900000.0,varies,35300000,Jake Paul vs. Anthony Joshua,
2025-12-15,2025-12-21,4,Stranger Things 5,10,8200000.0,4:46,38900000,Stranger Things 5,
2025-12-15,2025-12-21,5,Sean Combs: The Reckoning: Season 1,4,6300000.0,4:08,26200000,Sean Combs: The Reckoning,Season 1
2025-12-15,2025-12-21,6,Stranger Things 4,29,3900000.0,13:04,51400000,Stranger Things 4,
2025-12-15,2025-12-21,7,Stranger Things 3,20,3600000.0,7:33,27400000,Stranger Things 3,
2025-12-15,2025-12-21,8,Stranger Things: Season 1,22,3500000.0,6:49,23900000,Stranger Things,Season 1
2025-12-15,2025-12-21,9,Dave Chappelle: The Unstoppable...,3,3300000.0,1:16,4200000,Dave Chappelle: The Unstoppable...,
2025-12-15,2025-12-21,10,Stranger Things 2,20,3300000.0,7:53,26000000,Stranger Things 2,
2025-12-22,2025-12-28,1,Stranger Things 5,10,34500000.0,8:15,284800000,Stranger Things 5,
2025-12-22,2025-12-28,2,Emily in Paris: Season 5,5,13300000.0,5:47,76800000,Emily in Paris,Season 5
2025-12-22,2025-12-28,3,Dave Chappelle: The Unstoppable...,3,9200000.0,1:16,11600000,Dave Chappelle: The Unstoppable...,
2025-12-22,2025-12-28,4,Man Vs Baby: Season 1,4,7900000.0,1:58,15500000,Man Vs Baby,Season 1
2025-12-22,2025-12-28,5,Stranger Things: Season 1,22,4800000.0,6:49,32600000,Stranger Things,Season 1
2025-12-22,2025-12-28,6,Stranger Things 4,29,4100000.0,13:04,53300000,Stranger Things 4,
2025-12-22,2025-12-28,7,Sean Combs: The Reckoning: Season 1,4,3700000.0,4:08,15200000,Sean Combs: The Reckoning,Season 1
2025-12-22,2025-12-28,8,Stranger Things 3,20,3600000.0,7:33,27300000,Stranger Things 3,
2025-12-22,2025-12-28,9,Stranger Things 2,20,3600000.0,7:53,28300000,Stranger Things 2,
2025-12-22,2025-12-28,10,Fireplace for Your Home: Crackling Birchwood Fireplace,4,3200000.0,1:00,3200000,Fireplace for Your Home: Crackling Birchwood Fireplace,
2025-12-29,2026-01-04,1,Stranger Things 5,10,31300000.0,10:24,325600000,Stranger Things 5,
2025-12-29,2026-01-04,2,Run Away: Limited Series,4,12700000.0,6:16,79500000,Run Away,Limited Series
2025-12-29,2026-01-04,3,Stranger Things: Season 1,22,7600000.0,6:49,52100000,Stranger Things,Season 1
2025-12-29,2026-01-04,4,Emily in Paris: Season 5,5,7400000.0,5:47,42700000,Emily in Paris,Season 5
2025-12-29,2026-01-04,5,Stranger Things 2,20,5500000.0,7:53,43500000,Stranger Things 2,
2025-12-29,2026-01-04,6,Ricky Gervais: Mortality,1,5100000.0,0:59,5000000,Ricky Gervais: Mortality,
2025-12-29,2026-01-04,7,Stranger Things 3,20,5000000.0,7:33,37500000,Stranger Things 3,
2025-12-29,2026-01-04,8,Stranger Things 4,29,4800000.0,13:04,62200000,Stranger Things 4,
2025-12-29,2026-01-04,9,Man Vs Baby: Season 1,4,4000000.0,1:58,7900000,Man Vs Baby,Season 1
2025-12-29,2026-01-04,10,Dave Chappelle: The Unstoppable...,3,2800000.0,1:16,3500000,Dave Chappelle: The Unstoppable...,
2026-01-05,2026-01-11,1,HIS & HERS: Limited Series,7,19900000.0,4:22,86800000,HIS & HERS,Limited Series
2026-01-05,2026-01-11,2,Run Away: Limited Series,4,15600000.0,6:16,97900000,Run Away,Limited Series
2026-01-05,2026-01-11,3,Stranger Things 5,10,9300000.0,10:24,96400000,Stranger Things 5,
2026-01-05,2026-01-11,4,Stranger Things: Season 1,22,5000000.0,6:49,34000000,Stranger Things,Season 1
2026-01-05,2026-01-11,5,Emily in Paris: Season 5,5,4500000.0,5:47,26300000,Emily in Paris,Season 5
2026-01-05,2026-01-11,6,Stranger Things 2,20,4500000.0,7:53,35500000,Stranger Things 2,
2026-01-05,2026-01-11,7,Stranger Things 3,20,4400000.0,7:33,33400000,Stranger Things 3,
2026-01-05,2026-01-11,8,Stranger Things 4,29,4100000.0,13:04,53900000,Stranger Things 4,
2026-01-05,2026-01-11,9,The Good Doctor: Season 1,7,3400000.0,12:55,44500000,The Good Doctor,Season 1
2026-01-05,2026-01-11,10,"Raw: 2026 - January 5, 2026",1,3200000.0,1:45,5900000,Raw,"2026 - January 5, 2026"
2026-01-12,2026-01-18,1,HIS & HERS: Limited Series,7,29500000.0,4:22,128700000,HIS & HERS,Limited Series
2026-01-12,2026-01-18,2,Agatha Christie's Seven Dials: Season 1,3,9900000.0,2:42,26600000,Agatha Christie's Seven Dials,Season 1
2026-01-12,2026-01-18,3,Run Away: Limited Series,4,6100000.0,6:16,38500000,Run Away,Limited Series
2026-01-12,2026-01-18,4,Stranger Things 5,10,5100000.0,10:24,53500000,Stranger Things 5,
2026-01-12,2026-01-18,5,Stranger Things 4,29,3100000.0,13:04,40000000,Stranger Things 4,
2026-01-12,2026-01-18,6,Stranger Things 3,20,3000000.0,7:33,22400000,Stranger Things 3,
2026-01-12,2026-01-18,7,Stranger Things: Season 1,22,2800000.0,6:49,18900000,Stranger Things,Season 1
2026-01-12,2026-01-18,8,Emily in Paris: Season 5,5,2700000.0,5:47,15700000,Emily in Paris,Season 5
2026-01-12,2026-01-18,9,Stranger Things 2,20,2700000.0,7:53,21300000,Stranger Things 2,
2026-01-12,2026-01-18,10,Marcello Hernández: American Boy,1,2500000.0,1:05,2700000,Marcello Hernández: American Boy,
2026-01-19,2026-01-25,1,HIS & HERS: Limited Series,7,17200000.0,4:22,75000000,HIS & HERS,Limited Series
2026-01-19,2026-01-25,2,Agatha Christie's Seven Dials: Season 1,3,8700000.0,2:42,23500000,Agatha Christie's Seven Dials,Season 1
2026-01-19,2026-01-25,3,Skyscraper Live,2,6200000.0,1:56,12000000,Skyscraper Live,
2026-01-19,2026-01-25,4,Finding Her Edge: Season 1,2,5500000.0,6:03,33200000,Finding Her Edge,Season 1
2026-01-19,2026-01-25,5,Stranger Things 5,10,3700000.0,10:24,38300000,Stranger Things 5,
2026-01-19,2026-01-25,6,Run Away: Limited Series,4,3600000.0,6:16,22800000,Run Away,Limited Series
2026-01-19,2026-01-25,7,Sandokan: The Pirate Prince: Season 1,1,3500000.0,7:46,27000000,Sandokan: The Pirate Prince,Season 1
2026-01-19,2026-01-25,8,Free Bert: Season 1,2,3200000.0,2:36,8200000,Free Bert,Season 1
2026-01-19,2026-01-25,9,"Raw: 2026 - January 19, 2026",1,2500000.0,1:46,4600000,Raw,"2026 - January 19, 2026"
2026-01-19,2026-01-25,10,Stranger Things 4,29,2300000.0,13:04,30700000,Stranger Things 4,
2026-01-26,2026-02-01,1,Bridgerton: Season 4,9,39700000.0,4:23,174100000,Bridgerton,Season 4
2026-01-26,2026-02-01,2,HIS & HERS: Limited Series,7,11000000.0,4:22,48200000,HIS & HERS,Limited Series
2026-01-26,2026-02-01,3,Finding Her Edge: Season 1,2,6700000.0,6:03,40400000,Finding Her Edge,Season 1
2026-01-26,2026-02-01,4,Skyscraper Live,2,5300000.0,1:57,10400000,Skyscraper Live,
2026-01-26,2026-02-01,5,Mike Epps: Delusional,1,3800000.0,1:00,3800000,Mike Epps: Delusional,
2026-01-26,2026-02-01,6,Free Bert: Season 1,2,3700000.0,2:36,9500000,Free Bert,Season 1
2026-01-26,2026-02-01,7,Agatha Christie's Seven Dials: Season 1,3,3000000.0,2:42,8100000,Agatha Christie's Seven Dials,Season 1
2026-01-26,2026-02-01,8,Bridgerton: Season 3,14,2700000.0,7:59,21700000,Bridgerton,Season 3
2026-01-26,2026-02-01,9,Stranger Things 5,10,2700000.0,10:24,28200000,Stranger Things 5,
2026-01-26,2026-02-01,10,Bridgerton: Season 1,20,2700000.0,8:12,22200000,Bridgerton,Season 1
2026-02-02,2026-02-08,1,Bridgerton: Season 4,9,23400000.0,4:23,102600000,Bridgerton,Season 4
2026-02-02,2026-02-08,2,The Lincoln Lawyer: Season 4,4,9000000.0,8:26,75900000,The Lincoln Lawyer,Season 4
